zone_id,latitude,longitude,elevation,slope,aspect,curvature,data_source
Z_29.0_94.5,29.0,94.5,2114,3.75,33.5,4e-06,open-elevation + DEM-derived
Z_29.0_95.0,29.0,95.0,1446,2.67,347.0,6e-06,open-elevation + DEM-derived
Z_29.0_95.5,29.0,95.5,3034,1.6,251.1,-4e-06,open-elevation + DEM-derived
Z_29.0_96.0,29.0,96.0,3778,1.01,220.4,-1e-06,open-elevation + DEM-derived
Z_29.0_96.5,29.0,96.5,4043,0.16,92.6,-1e-06,open-elevation + DEM-derived
Z_29.0_97.0,29.0,97.0,3527,3.73,350.8,3e-06,open-elevation + DEM-derived
Z_29.0_97.5,29.0,97.5,4957,2.06,72.6,-8e-06,open-elevation + DEM-derived
Z_29.5_88.0,29.5,88.0,5558,5.38,207.7,-1.6e-05,open-elevation + DEM-derived
Z_29.5_88.5,29.5,88.5,4353,3.71,178.0,-3e-06,open-elevation + DEM-derived
Z_29.5_89.0,29.5,89.0,5361,4.51,187.2,-9e-06,open-elevation + DEM-derived
Z_29.5_89.5,29.5,89.5,5223,3.63,173.2,-8e-06,open-elevation + DEM-derived
Z_29.5_90.0,29.5,90.0,4704,5.22,183.6,-2e-06,open-elevation + DEM-derived
Z_29.5_90.5,29.5,90.5,5724,4.11,175.7,-1.2e-05,open-elevation + DEM-derived
Z_29.5_91.0,29.5,91.0,4228,4.26,171.1,-2e-06,open-elevation + DEM-derived
Z_29.5_91.5,29.5,91.5,4712,4.51,187.7,-5e-06,open-elevation + DEM-derived
Z_29.5_92.0,29.5,92.0,5164,5.15,184.6,-6e-06,open-elevation + DEM-derived
Z_29.5_92.5,29.5,92.5,5352,3.69,179.1,-9e-06,open-elevation + DEM-derived
Z_29.5_93.0,29.5,93.0,5074,3.5,174.4,-8e-06,open-elevation + DEM-derived
Z_29.5_93.5,29.5,93.5,4826,4.51,180.3,-5e-06,open-elevation + DEM-derived
Z_29.5_94.0,29.5,94.0,5108,4.3,175.7,-8e-06,open-elevation + DEM-derived
Z_29.5_94.5,29.5,94.5,4324,1.86,154.5,-8e-06,open-elevation + DEM-derived
Z_29.5_95.0,29.5,95.0,3878,2.08,118.3,-1e-05,open-elevation + DEM-derived
Z_29.5_95.5,29.5,95.5,1509,2.66,172.9,6e-06,open-elevation + DEM-derived
Z_29.5_96.0,29.5,96.0,3374,3.81,206.4,-5e-06,open-elevation + DEM-derived
Z_29.5_96.5,29.5,96.5,4109,3.9,199.1,-4e-06,open-elevation + DEM-derived
Z_29.5_97.0,29.5,97.0,5338,3.22,191.5,-1.1e-05,open-elevation + DEM-derived
Z_29.5_97.5,29.5,97.5,5098,5.59,145.8,-1.2e-05,open-elevation + DEM-derived
