zone_id,latitude,longitude,land_cover,land_cover_code,data_source
Z_28.5_97.5,28.5,97.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_88.0,29.0,88.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_88.5,29.0,88.5,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_89.0,29.0,89.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_89.5,29.0,89.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_90.0,29.0,90.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_90.5,29.0,90.5,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_91.0,29.0,91.0,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_91.5,29.0,91.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_92.0,29.0,92.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_92.5,29.0,92.5,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_93.0,29.0,93.0,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_93.5,29.0,93.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_94.0,29.0,94.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_94.5,29.0,94.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_95.0,29.0,95.0,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_95.5,29.0,95.5,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_96.0,29.0,96.0,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_96.5,29.0,96.5,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_97.0,29.0,97.0,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.0_97.5,29.0,97.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_88.0,29.5,88.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_88.5,29.5,88.5,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_89.0,29.5,89.0,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_89.5,29.5,89.5,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_90.0,29.5,90.0,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_90.5,29.5,90.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_91.0,29.5,91.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_91.5,29.5,91.5,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_92.0,29.5,92.0,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_92.5,29.5,92.5,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_93.0,29.5,93.0,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_93.5,29.5,93.5,barren,4,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_94.0,29.5,94.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_94.5,29.5,94.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_95.0,29.5,95.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_95.5,29.5,95.5,forest,0,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_96.0,29.5,96.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_96.5,29.5,96.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_97.0,29.5,97.0,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
Z_29.5_97.5,29.5,97.5,scrub,2,ESA WorldCover / ISRO Bhuvan (approximated)
