zone_id,latitude,longitude,historical_landslide_count,historical_landslide_density,susceptibility_level,data_source
Z_28.5_92.0,28.5,92.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.5_92.5,28.5,92.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.5_93.0,28.5,93.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.5_93.5,28.5,93.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.5_94.0,28.5,94.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.5_94.5,28.5,94.5,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.5_95.0,28.5,95.0,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.5_95.5,28.5,95.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.5_96.0,28.5,96.0,2,0.0408,low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.5_96.5,28.5,96.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.5_97.0,28.5,97.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_28.5_97.5,28.5,97.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_88.0,29.0,88.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_88.5,29.0,88.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_89.0,29.0,89.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_89.5,29.0,89.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_90.0,29.0,90.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_90.5,29.0,90.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_91.0,29.0,91.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_91.5,29.0,91.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_92.0,29.0,92.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_92.5,29.0,92.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_93.0,29.0,93.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_93.5,29.0,93.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_94.0,29.0,94.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_94.5,29.0,94.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_95.0,29.0,95.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_95.5,29.0,95.5,1,0.0204,low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_96.0,29.0,96.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_96.5,29.0,96.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_97.0,29.0,97.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.0_97.5,29.0,97.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_88.0,29.5,88.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_88.5,29.5,88.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_89.0,29.5,89.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_89.5,29.5,89.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_90.0,29.5,90.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_90.5,29.5,90.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_91.0,29.5,91.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_91.5,29.5,91.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_92.0,29.5,92.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_92.5,29.5,92.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_93.0,29.5,93.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_93.5,29.5,93.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_94.0,29.5,94.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_94.5,29.5,94.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_95.0,29.5,95.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_95.5,29.5,95.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_96.0,29.5,96.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_96.5,29.5,96.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_97.0,29.5,97.0,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
Z_29.5_97.5,29.5,97.5,0,0.0,very_low,Derived from NASA COOLR / Global Landslide Catalog
