latitude,longitude,event_date,elevation,slope,aspect,curvature,land_cover_code,historical_landslide_density,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_3day,rainfall_7day,soil_moisture_0_7cm,soil_moisture_7_28cm,earthquake_count_7d,nearest_eq_distance_km,max_eq_magnitude,landslide_occurrence
29.5,97.0,2013-11-07,5338.0,3.22,191.5,-1.1e-05,2.0,0.0,0.87,2.01,0.06,7.8,13.14,2.65,62.17,0.491,0.48,3,32.3,3.98,0
28.5,96.0,2020-05-20,4116.0,3.91,339.5,-8e-06,4.0,0.0408,0.2,2.0,3.48,3.12,4.41,56.1,105.33,0.498,0.392,1,88.3,6.0,0
25.67,94.1066,2008-08-29,535.5,0.72,179.1,0.0,1.0,0.0,0.0,2.3,3.4,6.3,7.8,16.5,188.4,0.499,0.49,2,265.6,4.7,1
29.5,95.5,2011-05-29,1509.0,2.66,172.9,6e-06,0.0,0.0,0.8,2.22,3.27,9.69,21.47,65.1,56.44,0.375,0.412,1,57.6,2.39,0
26.5,97.5,2015-12-01,539.0,0.3,355.3,-0.0,0.0,0.0,0.4,1.56,0.26,4.26,4.59,19.26,133.95,0.336,0.292,0,494.8,2.19,0
26.1966,91.802,2016-07-20,535.5,0.72,179.1,0.0,1.0,0.0,1.4,4.1,5.3,11.0,14.4,56.1,145.2,0.511,0.512,1,353.5,4.0,1
26.5,91.0,2015-04-18,42.0,1.83,0.1,2e-06,5.0,0.0,0.85,1.85,1.3,10.11,4.13,2.48,102.15,0.362,0.351,2,455.2,0.65,0
25.705,94.04,2008-08-07,535.5,0.72,179.1,0.0,1.0,0.0,0.1,1.6,1.8,2.6,30.6,63.2,155.4,0.505,0.478,0,500.0,0.0,1
27.2676,88.2891,2016-10-12,535.5,0.72,179.1,0.0,1.0,0.0,13.8,13.9,14.0,21.8,26.5,68.8,87.0,0.412,0.412,5,454.1,4.7,1
25.5215,93.1645,2009-08-20,535.5,0.72,179.1,0.0,1.0,0.0,0.3,0.3,0.3,0.4,3.7,7.5,102.2,0.464,0.465,1,134.3,5.0,1
27.092916,93.61882043,2017-07-09,535.5,0.72,179.1,0.0,1.0,0.0,1.6,6.4,17.8,32.7,49.6,60.3,126.1,0.516,0.515,1,296.7,4.5,1
27.04,88.264,2009-07-22,535.5,0.72,179.1,0.0,1.0,0.0,0.7,1.7,2.7,5.2,5.9,19.1,85.5,0.394,0.397,0,500.0,0.0,1
27.01145644,92.64204045,2017-07-01,535.5,0.72,179.1,0.0,1.0,0.0,0.9,3.7,14.3,49.1,66.2,105.9,224.7,0.476,0.471,2,396.6,4.6,1
25.6172,96.3005,2015-01-06,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.3,0.368,0.354,2,303.9,4.2,1
23.0,89.0,2017-05-05,12.0,0.01,35.5,-0.0,1.0,0.0,0.6,1.69,0.27,7.07,16.47,53.31,72.54,0.314,0.31,1,243.6,0.86,0
29.0,89.0,2012-03-31,4805.0,0.58,6.5,-1e-06,2.0,0.0,0.25,1.58,3.13,10.62,9.89,14.37,35.62,0.493,0.361,4,46.5,0.35,0
26.8546,88.3373,2012-07-19,535.5,0.72,179.1,0.0,1.0,0.0,0.8,3.2,7.0,11.0,60.9,138.2,229.2,0.43,0.431,3,633.4,5.2,1
23.5,95.0,2023-05-12,417.0,0.1,47.2,-1e-06,1.0,0.0,0.19,1.48,5.22,8.75,1.43,56.9,118.69,0.5,0.335,1,435.3,6.19,0
27.5,88.0,2014-08-27,3357.0,4.09,348.8,-5e-06,2.0,0.0408,0.45,0.48,2.12,2.56,22.35,45.08,61.08,0.452,0.403,0,440.9,0.4,0
26.1965,91.763,2010-04-20,535.5,0.72,179.1,0.0,1.0,0.0,0.4,1.4,6.0,16.6,23.5,96.2,133.3,0.506,0.491,0,500.0,0.0,1
29.0,88.0,2018-12-27,5088.0,2.69,300.2,-8e-06,2.0,0.0,0.41,1.47,4.74,3.46,17.9,17.72,65.2,0.355,0.472,1,183.0,2.96,0
28.5,92.5,2018-12-26,4821.0,1.69,183.4,-0.0,2.0,0.0,0.54,0.18,0.12,9.41,2.04,7.42,145.47,0.318,0.483,5,131.7,4.3,0
27.5,88.0,2020-09-16,3357.0,4.09,348.8,-5e-06,2.0,0.0408,0.38,2.27,3.68,4.85,21.28,34.92,116.01,0.368,0.464,5,292.3,2.77,0
25.0,88.5,2015-07-18,27.0,0.01,35.5,-0.0,6.0,0.0,0.23,0.82,4.23,7.92,16.68,23.87,52.4,0.31,0.333,4,63.4,0.69,0
29.0,91.5,2012-04-12,4803.0,0.84,223.8,1e-06,2.0,0.0,0.71,2.49,2.56,3.55,20.03,15.92,121.4,0.334,0.489,4,69.0,4.77,0
25.16,93.686,2015-06-19,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.0,4.8,5.5,13.0,68.5,0.422,0.432,2,278.4,4.3,1
28.3092,95.4149,2010-10-03,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.0,2.6,3.5,9.5,94.7,0.398,0.404,0,500.0,0.0,1
27.0,93.0,2009-07-03,391.0,0.72,3.7,1e-06,0.0,0.0408,0.22,0.33,3.13,1.52,11.63,62.44,36.38,0.329,0.489,4,479.5,3.9,0
24.0,97.5,2020-09-28,1449.0,0.34,223.1,-4e-06,0.0,0.0,0.72,0.73,4.17,4.78,18.57,3.18,51.0,0.325,0.294,5,325.6,2.74,0
29.0,91.0,2022-01-28,4544.0,1.27,190.6,1e-06,4.0,0.0,0.31,2.5,1.46,6.85,4.42,65.07,91.2,0.349,0.377,0,283.7,3.27,0
22.0,90.5,2011-11-03,5.0,0.52,179.6,1e-06,1.0,0.0,0.66,1.91,0.67,7.16,22.2,21.1,109.06,0.326,0.474,1,361.3,3.24,0
27.5,89.0,2017-04-08,4301.0,4.15,341.9,-8e-06,2.0,0.0,0.13,1.25,2.62,5.19,18.5,14.31,90.53,0.493,0.328,2,20.3,1.06,0
28.0,90.5,2021-10-22,5377.0,3.27,358.1,-8e-06,2.0,0.0,0.24,0.61,0.92,3.64,4.16,52.08,141.42,0.435,0.418,4,288.5,0.74,0
22.3513,91.8295,2015-07-27,535.5,0.72,179.1,0.0,1.0,0.0,3.2,7.8,12.6,45.0,105.0,313.3,372.8,0.282,0.283,1,266.4,4.2,1
28.5,90.5,2012-05-25,5037.0,1.02,197.3,0.0,4.0,0.0,0.67,2.11,0.96,9.93,2.49,13.38,81.29,0.359,0.425,2,314.7,0.19,0
26.0838,94.564,2013-08-04,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.0,0.7,1.3,21.3,33.5,0.497,0.496,1,239.2,5.0,1
25.61560252,94.11603493,2010-08-19,535.5,0.72,179.1,0.0,1.0,0.0,0.4,1.3,6.0,10.1,13.1,22.3,72.7,0.47,0.47,0,500.0,0.0,1
23.0,89.5,2010-05-05,3.0,0.01,68.2,0.0,6.0,0.0,0.25,1.59,2.62,9.75,8.73,5.44,43.92,0.333,0.382,0,333.6,0.2,0
27.51353298,89.79033898,2017-07-08,535.5,0.72,179.1,0.0,1.0,0.0,2.0,5.3,7.4,8.8,15.3,41.8,128.3,0.434,0.423,1,603.3,4.9,1
28.0,94.5,2021-07-14,682.0,1.4,25.7,2e-06,0.0,0.0408,0.12,2.27,0.91,6.73,21.36,32.36,118.18,0.297,0.463,3,76.1,4.67,0
24.37169581,93.70684171,2017-07-10,535.5,0.72,179.1,0.0,1.0,0.0,0.7,2.3,5.4,7.3,8.4,33.2,102.3,0.494,0.493,1,554.2,4.5,1
29.5,97.5,2009-03-29,5098.0,5.59,145.8,-1.2e-05,2.0,0.0,0.66,0.05,2.01,10.22,8.63,4.87,103.62,0.441,0.362,4,428.3,5.1,0
28.5,88.5,2013-05-08,4870.0,1.37,195.2,-1e-06,2.0,0.0,0.82,0.91,3.84,9.25,18.49,18.36,36.33,0.336,0.42,5,46.9,6.18,0
25.4196,94.1054,2010-07-29,535.5,0.72,179.1,0.0,1.0,0.0,1.0,2.3,4.2,7.4,9.3,42.6,101.5,0.469,0.46,1,247.0,4.1,1
26.7324,88.4089,2007-06-13,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.2,239.9,265.0,0.385,0.389,1,841.2,4.2,1
23.5,95.0,2023-07-29,417.0,0.1,47.2,-1e-06,1.0,0.0,0.22,2.19,4.53,6.09,1.97,54.29,36.55,0.383,0.314,1,372.0,2.89,0
27.478,88.527,2009-07-01,535.5,0.72,179.1,0.0,1.0,0.0,0.2,1.2,6.0,11.9,26.7,120.8,219.5,0.425,0.431,0,500.0,0.0,1
24.5,95.5,2012-12-03,268.0,0.2,209.7,-0.0,2.0,0.0,0.07,2.18,2.71,10.76,9.6,27.98,65.38,0.318,0.487,1,417.5,5.53,0
23.0,92.5,2014-02-18,133.0,0.86,306.2,2e-06,1.0,0.0612,0.87,0.31,1.45,4.79,8.15,24.45,64.54,0.359,0.49,1,424.7,1.69,0
23.0,92.0,2022-04-19,55.0,0.11,308.9,0.0,1.0,0.0,0.16,1.26,3.4,4.9,12.97,9.14,25.71,0.485,0.462,1,208.6,4.55,0
27.0869,93.6086,2014-08-17,535.5,0.72,179.1,0.0,1.0,0.0,0.0,1.5,4.2,6.3,18.1,220.2,356.3,0.511,0.514,1,293.5,5.0,1
27.360364,88.651914,2017-07-10,535.5,0.72,179.1,0.0,1.0,0.0,1.2,26.4,68.5,108.5,131.0,230.2,329.6,0.434,0.435,1,715.5,4.5,1
27.5,96.0,2018-09-27,173.0,1.15,190.0,2e-06,5.0,0.0408,0.0,0.11,0.31,1.34,17.78,10.71,44.11,0.464,0.449,3,281.4,0.65,0
27.0971,90.4032,2007-09-10,535.5,0.72,179.1,0.0,1.0,0.0,3.3,7.0,8.1,12.4,21.4,110.0,527.1,0.432,0.43,1,510.7,4.2,1
22.6205,91.6591,2013-01-30,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.132,0,500.0,0.0,1
26.1961,91.7825,2016-06-22,535.5,0.72,179.1,0.0,1.0,0.0,0.4,3.6,5.3,7.3,8.6,23.4,144.8,0.512,0.503,0,500.0,0.0,1
27.5,91.0,2014-01-22,3987.0,2.49,358.2,-8e-06,4.0,0.0,0.82,1.83,3.42,8.53,12.4,43.09,116.97,0.497,0.353,1,491.9,0.48,0
24.0,90.0,2012-11-22,8.0,0.02,12.3,0.0,1.0,0.0,0.83,0.73,0.02,7.58,9.88,60.43,126.38,0.388,0.339,0,210.2,2.89,0
28.8254,96.1509,2013-04-07,535.5,0.72,179.1,0.0,1.0,0.0,0.1,0.2,0.3,2.8,12.1,64.9,117.2,0.39,0.396,0,500.0,0.0,1
24.7459,93.4251,2015-08-11,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.0,2.6,11.3,34.3,94.9,0.419,0.425,0,500.0,0.0,1
24.8961,93.4957,2010-08-19,535.5,0.72,179.1,0.0,1.0,0.0,0.2,0.7,1.2,2.5,4.7,33.9,124.0,0.44,0.442,0,500.0,0.0,1
27.0,92.5,2011-05-27,732.0,2.28,11.7,1e-06,0.0,0.0612,0.23,0.51,0.64,9.63,4.9,57.98,41.98,0.365,0.453,0,464.0,5.44,0
25.9611,91.3681,2016-07-07,535.5,0.72,179.1,0.0,1.0,0.0,6.7,13.9,26.3,35.3,77.7,190.7,397.0,0.512,0.506,3,405.4,4.7,1
26.0,91.0,2019-10-28,46.0,0.67,177.3,1e-06,1.0,0.0204,0.16,2.15,3.64,6.51,20.59,42.54,56.04,0.448,0.414,0,392.3,5.99,0
27.5,95.0,2021-07-30,114.0,0.73,358.9,1e-06,5.0,0.0204,0.83,0.06,1.31,5.98,7.58,28.94,37.68,0.367,0.365,5,158.1,6.47,0
27.0,96.0,2010-07-03,1342.0,0.65,235.3,-3e-06,0.0,0.0,0.06,0.68,5.01,4.04,9.11,64.36,133.68,0.478,0.315,1,52.3,1.21,0
28.5,96.0,2011-12-26,4116.0,3.91,339.5,-8e-06,4.0,0.0408,0.59,0.9,0.94,6.07,12.0,51.47,46.09,0.295,0.294,2,236.9,4.67,0
25.0,89.0,2012-10-26,21.0,0.02,13.4,0.0,1.0,0.0,0.28,0.18,0.99,10.17,3.23,3.3,78.35,0.365,0.327,2,441.8,1.11,0
25.0,94.0,2011-01-11,832.0,0.77,354.8,1e-06,0.0,0.551,0.26,1.01,0.86,6.47,21.88,60.18,100.48,0.437,0.347,3,261.5,5.62,0
26.2753,94.6654,2010-08-17,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.1,0.3,9.3,27.5,84.2,130.5,0.5,0.496,0,500.0,0.0,1
26.5,90.0,2019-08-06,54.0,2.07,359.7,3e-06,1.0,0.0,0.72,2.2,3.28,3.19,17.0,47.37,34.11,0.336,0.42,0,398.8,6.13,0
27.5799,91.8569,2016-04-22,535.5,0.72,179.1,0.0,1.0,0.0,1.0,3.7,8.0,19.0,29.7,57.4,80.9,0.422,0.425,0,500.0,0.0,1
26.8867642,88.28044714,2009-08-16,535.5,0.72,179.1,0.0,1.0,0.0,3.5,9.7,12.6,17.5,26.5,122.7,205.1,0.424,0.425,1,712.4,5.5,1
22.0,91.5,2012-03-26,0.0,0.52,182.6,1e-06,6.0,0.3265,0.37,1.7,0.82,5.31,21.98,25.25,106.29,0.431,0.474,5,431.1,2.47,0
26.5,92.5,2011-03-05,63.0,0.57,358.5,1e-06,1.0,0.0204,0.03,0.03,3.1,1.36,6.37,42.09,75.18,0.338,0.363,1,309.8,0.61,0
29.0,95.0,2022-10-21,1446.0,2.67,347.0,6e-06,0.0,0.0,0.28,0.9,0.87,3.25,11.04,17.51,39.26,0.492,0.345,4,379.2,6.01,0
25.463,92.2121,2015-06-13,535.5,0.72,179.1,0.0,1.0,0.0,1.7,10.6,27.2,58.3,163.0,334.4,391.0,0.514,0.508,1,386.8,4.2,1
25.583,91.893,2015-09-23,535.5,0.72,179.1,0.0,1.0,0.0,1.2,4.6,10.1,31.4,67.0,156.4,211.9,0.515,0.513,4,288.8,4.7,1
23.5,90.0,2023-01-08,7.0,0.0,17.4,-0.0,1.0,0.0204,0.27,1.39,2.65,1.91,21.36,12.83,101.94,0.446,0.42,4,30.2,5.61,0
25.0,91.5,2022-08-27,10.0,1.71,359.8,2e-06,6.0,0.1224,0.38,1.19,2.32,4.0,10.64,21.76,139.57,0.404,0.445,1,159.5,5.58,0
25.08303063,94.23757741,2017-04-06,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.5,3.0,5.7,7.9,23.5,92.9,0.42,0.42,0,500.0,0.0,1
27.7565,88.632,2012-06-07,535.5,0.72,179.1,0.0,1.0,0.0,0.2,0.3,0.3,0.3,0.5,13.0,27.2,0.425,0.426,1,842.7,4.5,1
26.7225,95.0281,2010-07-06,535.5,0.72,179.1,0.0,1.0,0.0,0.2,0.5,0.8,2.7,7.5,49.7,108.7,0.495,0.497,1,232.8,4.4,1
26.89,88.28,2008-06-29,535.5,0.72,179.1,0.0,1.0,0.0,0.7,2.2,2.6,6.0,12.9,56.2,94.7,0.419,0.419,2,742.6,4.6,1
24.0,94.5,2022-12-24,613.0,0.46,102.0,-1e-06,1.0,0.0,0.59,0.69,3.82,3.87,10.29,42.22,47.01,0.375,0.312,1,266.1,5.91,0
23.7281,92.7175,2013-05-11,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.0,0.1,5.9,25.2,78.5,0.396,0.39,1,413.5,4.2,1
27.1667,88.35,2007-09-09,535.5,0.72,179.1,0.0,1.0,0.0,0.5,4.4,8.7,10.5,89.7,375.6,563.1,0.417,0.42,1,637.6,4.2,1
28.0,92.0,2019-07-30,4961.0,0.78,326.9,-1e-06,4.0,0.0,0.02,1.17,1.28,3.33,18.81,28.83,60.33,0.316,0.473,3,489.9,5.52,0
24.5,91.0,2021-10-17,10.0,0.0,168.2,-0.0,1.0,0.0,0.74,1.3,1.88,10.17,19.36,56.44,73.78,0.426,0.479,4,48.3,5.09,0
26.0,88.0,2017-05-20,47.0,0.3,72.6,1e-06,1.0,0.0,0.08,1.07,2.38,9.91,22.48,5.32,142.75,0.306,0.461,5,412.4,0.05,0
25.8509,97.4381,2014-03-20,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.0,1.2,1.2,1.2,1.2,0.339,0.376,2,359.0,4.4,1
29.0,94.0,2023-06-19,4628.0,2.93,37.1,-5e-06,2.0,0.0,0.35,1.78,2.04,10.29,5.4,35.49,49.6,0.5,0.427,3,460.5,1.0,0
23.0,90.5,2023-05-03,2.0,0.0,328.0,0.0,5.0,0.0,0.66,0.87,0.06,2.37,15.73,26.05,118.36,0.446,0.299,3,369.0,6.3,0
22.5,91.0,2023-01-11,0.0,0.01,345.0,0.0,1.0,0.0,0.55,1.72,2.59,6.47,8.13,55.25,58.28,0.341,0.329,0,395.3,1.04,0
25.5,96.5,2017-05-10,309.0,0.82,326.9,1e-06,1.0,0.0,0.58,1.52,4.64,0.82,5.37,45.73,123.33,0.503,0.314,2,435.6,0.45,0
22.5,95.5,2018-03-06,93.0,0.05,49.5,0.0,5.0,0.0,0.61,0.36,1.6,2.86,3.51,30.94,65.85,0.389,0.419,4,206.4,3.29,0
25.0,89.0,2023-09-10,21.0,0.02,13.4,0.0,1.0,0.0,0.0,0.41,5.26,8.81,8.02,29.06,92.63,0.403,0.449,0,460.4,3.57,0
27.0,95.5,2019-09-09,680.0,0.99,234.0,-1e-06,0.0,0.0204,0.42,0.35,4.95,0.0,5.71,39.88,57.48,0.488,0.422,0,39.0,2.67,0
26.0,91.5,2017-08-08,50.0,1.67,186.7,3e-06,1.0,1.0,0.69,0.57,1.36,5.38,20.36,10.74,34.96,0.407,0.446,0,399.8,2.16,0
26.0814,94.803,2010-08-14,535.5,0.72,179.1,0.0,1.0,0.0,0.2,0.7,3.3,7.5,12.1,31.6,53.7,0.498,0.496,1,134.2,4.0,1
25.5,95.5,2021-08-23,203.0,1.25,41.2,3e-06,0.0,0.0,0.23,1.64,3.05,6.47,14.89,22.1,112.01,0.3,0.394,1,257.7,5.53,0
23.5,90.0,2011-12-12,7.0,0.0,17.4,-0.0,1.0,0.0204,0.47,0.44,0.19,4.03,20.76,60.66,77.41,0.477,0.492,4,228.0,6.3,0
26.1985,91.7998,2014-09-22,535.5,0.72,179.1,0.0,1.0,0.0,0.4,0.4,0.5,9.3,20.9,106.7,129.1,0.495,0.505,3,349.6,4.5,1
26.99195749,88.42280921,2011-07-17,535.5,0.72,179.1,0.0,1.0,0.0,1.1,2.4,3.1,9.0,96.2,182.5,261.2,0.431,0.42,1,855.4,4.4,1
25.51826286,91.9630294,2017-02-15,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,8.9,0.361,0.324,1,86.3,4.4,1
26.84850975,88.26181745,2011-06-17,535.5,0.72,179.1,0.0,1.0,0.0,1.3,2.9,4.6,5.8,27.4,50.6,81.7,0.43,0.427,0,500.0,0.0,1
22.6461,88.3403,2007-08-31,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.0,1.4,1.7,13.3,43.3,0.38,0.389,1,547.3,3.8,1
23.0,95.5,2016-09-08,126.0,0.13,49.0,0.0,6.0,0.0,0.63,1.2,1.03,0.48,10.28,19.05,76.73,0.343,0.306,0,408.4,1.87,0
24.954,94.2156,2015-08-01,535.5,0.72,179.1,0.0,1.0,0.0,2.7,10.1,14.0,25.1,52.6,120.5,186.0,0.447,0.455,1,403.4,4.4,1
25.318,94.0441,2013-08-09,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.0,3.4,11.3,31.4,112.6,0.437,0.443,2,168.5,5.0,1
23.5,96.5,2011-04-18,188.0,1.55,185.8,2e-06,1.0,0.0204,0.47,2.44,1.24,8.53,22.05,25.22,70.42,0.452,0.396,4,40.5,2.71,0
28.5,90.0,2012-11-30,4959.0,1.55,3.2,-0.0,2.0,0.0,0.5,0.86,2.25,5.22,18.1,44.86,41.44,0.433,0.375,5,310.9,1.28,0
27.5003,90.5081,2011-07-21,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.5,1.7,6.0,8.7,151.2,308.5,0.421,0.42,0,500.0,0.0,1
22.5,96.5,2018-09-01,1047.0,0.69,313.5,-1e-06,0.0,0.0204,0.74,1.21,4.7,11.24,3.46,24.7,40.84,0.415,0.387,5,372.3,6.17,0
27.0,90.0,2011-12-27,2022.0,1.82,31.7,-4e-06,1.0,0.0612,0.65,0.54,1.15,2.16,4.43,61.29,102.01,0.424,0.484,4,432.6,5.15,0
24.0,94.0,2015-09-25,1048.0,0.67,23.5,-2e-06,1.0,0.2041,0.76,2.28,3.53,5.54,14.29,42.71,87.17,0.357,0.336,2,215.6,2.91,0
26.3897,94.9439,2013-08-16,535.5,0.72,179.1,0.0,1.0,0.0,2.1,4.3,6.3,10.3,14.6,32.1,84.6,0.457,0.457,1,161.0,4.3,1
25.0,96.5,2010-01-20,211.0,0.19,29.9,0.0,1.0,0.0,0.84,2.25,1.33,5.97,20.19,64.09,112.15,0.349,0.448,5,96.9,6.16,0
27.0,96.0,2019-03-11,1342.0,0.65,235.3,-3e-06,0.0,0.0,0.5,2.16,4.85,5.67,16.09,30.98,37.66,0.499,0.402,1,374.1,2.6,0
29.5,89.5,2011-01-19,5223.0,3.63,173.2,-8e-06,4.0,0.0,0.57,0.51,1.14,4.58,7.34,17.65,130.58,0.474,0.446,0,459.9,3.98,0
29.5,88.5,2009-10-05,4353.0,3.71,178.0,-3e-06,4.0,0.0,0.29,0.27,1.89,10.18,3.61,34.47,60.69,0.484,0.33,2,160.1,3.03,0
26.7969,89.591,2008-06-07,535.5,0.72,179.1,0.0,1.0,0.0,0.4,1.1,1.5,3.1,5.9,83.6,152.4,0.401,0.398,1,714.4,4.0,1
25.5007,93.9854,2015-07-22,535.5,0.72,179.1,0.0,1.0,0.0,1.1,2.0,3.2,10.9,31.4,81.4,179.3,0.468,0.464,1,166.7,4.2,1
26.5,89.5,2010-11-07,50.0,2.34,0.2,3e-06,6.0,0.0204,0.27,1.3,2.89,0.88,6.28,17.78,32.76,0.37,0.407,2,106.4,2.14,0
24.0,94.5,2009-10-21,613.0,0.46,102.0,-1e-06,1.0,0.0,0.42,0.43,2.47,1.31,20.3,35.78,74.12,0.502,0.411,3,251.6,5.5,0
28.0,93.5,2011-06-08,515.0,1.77,28.3,1e-05,0.0,0.0,0.13,2.0,1.15,7.27,20.7,50.63,30.8,0.31,0.413,2,390.8,0.12,0
25.0,95.5,2017-08-04,182.0,0.14,240.0,0.0,1.0,0.0,0.59,1.49,2.5,1.95,9.15,44.09,104.76,0.379,0.375,2,348.4,0.32,0
25.4976444,94.12901274,2017-07-04,535.5,0.72,179.1,0.0,1.0,0.0,3.5,10.6,17.8,18.4,19.4,54.1,113.6,0.498,0.516,2,139.1,4.9,1
22.0,93.5,2012-05-07,1971.0,1.87,16.4,-5e-06,2.0,0.0,0.58,0.44,4.89,10.64,17.0,47.17,29.42,0.336,0.349,5,260.6,0.37,0
22.0,90.0,2019-08-20,5.0,0.52,180.4,1e-06,1.0,0.0,0.82,1.68,3.17,0.1,5.74,56.67,56.69,0.498,0.428,3,448.8,5.54,0
26.5,92.5,2019-02-16,63.0,0.57,358.5,1e-06,1.0,0.0204,0.62,0.05,4.34,5.73,22.53,41.57,25.88,0.355,0.414,0,360.2,2.95,0
22.97758595,91.80439129,2017-06-18,535.5,0.72,179.1,0.0,1.0,0.0,0.9,1.1,2.5,2.8,8.6,61.8,260.7,0.465,0.476,0,500.0,0.0,1
29.0,88.5,2019-05-07,4067.0,0.57,161.1,4e-06,4.0,0.0,0.58,0.19,3.55,2.83,4.49,41.55,139.43,0.369,0.435,1,59.0,4.03,0
24.7679,93.4108,2010-10-08,535.5,0.72,179.1,0.0,1.0,0.0,1.0,2.4,4.2,8.3,17.4,49.4,60.5,0.43,0.428,0,500.0,0.0,1
24.1293,92.6921,2007-09-29,535.5,0.72,179.1,0.0,1.0,0.0,1.6,2.6,2.6,2.6,4.7,19.8,28.9,0.418,0.409,3,183.0,4.5,1
25.5,91.5,2010-09-05,1648.0,0.59,274.1,-6e-06,0.0,0.2245,0.48,0.63,2.73,6.91,7.09,44.11,87.49,0.482,0.415,2,330.1,0.21,0
23.0,94.0,2013-08-20,147.0,1.17,100.5,3e-06,6.0,0.0204,0.49,1.43,1.43,10.66,18.24,41.11,39.51,0.36,0.483,4,227.4,0.85,0
27.5,91.5,2014-01-25,2019.0,3.55,0.6,9e-06,0.0,0.1224,0.5,0.76,4.52,2.13,1.59,59.09,78.49,0.437,0.328,5,250.9,0.68,0
25.0,91.5,2012-12-21,10.0,1.71,359.8,2e-06,6.0,0.1224,0.44,1.75,4.27,6.25,5.09,51.13,62.92,0.458,0.389,5,338.3,2.59,0
29.0,95.5,2021-07-16,3034.0,1.6,251.1,-4e-06,4.0,0.0204,0.75,0.49,0.08,11.05,12.56,2.84,138.42,0.483,0.369,1,471.0,5.1,0
24.0,96.5,2020-03-11,102.0,0.04,169.7,0.0,1.0,0.0,0.66,0.61,1.28,3.0,5.21,58.68,124.68,0.369,0.458,0,460.9,4.39,0
28.5,90.5,2023-11-22,5037.0,1.02,197.3,0.0,4.0,0.0,0.77,2.35,3.15,1.27,15.56,51.49,20.23,0.5,0.475,5,497.1,2.32,0
23.5,89.0,2015-09-23,11.0,0.0,68.2,0.0,5.0,0.0,0.36,2.56,4.33,9.51,12.41,57.79,104.83,0.475,0.423,3,81.7,0.14,0
23.0,90.5,2022-01-26,2.0,0.0,328.0,0.0,5.0,0.0,0.01,2.56,2.13,1.44,6.68,27.31,87.87,0.306,0.442,2,63.8,1.83,0
27.0,93.0,2010-09-02,391.0,0.72,3.7,1e-06,0.0,0.0408,0.88,0.95,2.63,8.35,9.24,4.21,54.09,0.333,0.309,1,466.4,3.92,0
25.907233,91.881892,2017-05-26,535.5,0.72,179.1,0.0,1.0,0.0,0.0,4.3,4.7,5.1,5.8,17.1,26.3,0.454,0.379,1,246.2,4.4,1
26.191688,91.810079,2016-12-15,535.5,0.72,179.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291,0.326,2,437.6,4.4,1
26.5,95.5,2015-03-05,688.0,0.71,126.3,1e-06,0.0,0.0,0.57,1.16,0.06,1.32,2.78,45.65,133.92,0.342,0.416,4,245.0,4.51,0
28.9205,95.3429,2014-06-26,535.5,0.72,179.1,0.0,1.0,0.0,0.1,0.2,1.0,4.4,9.2,50.1,151.3,0.411,0.414,2,390.1,4.1,1
22.5,91.5,2014-05-15,6.0,0.02,285.8,0.0,1.0,0.1429,0.45,0.29,2.64,6.71,11.99,68.3,143.96,0.491,0.318,4,216.2,3.55,0
24.5,90.0,2015-04-28,30.0,0.01,7.6,-0.0,6.0,0.0,0.85,1.49,3.87,5.89,18.85,22.31,31.61,0.443,0.472,3,445.6,3.21,0
27.0,92.0,2022-02-12,1102.0,4.06,7.9,3e-06,1.0,0.0408,0.6,1.57,4.2,3.86,2.69,29.96,82.25,0.326,0.396,1,450.9,5.7,0
25.9703,91.8584,2015-09-06,535.5,0.72,179.1,0.0,1.0,0.0,0.6,6.0,7.5,7.5,8.0,70.4,466.5,0.503,0.508,3,99.7,4.5,1
23.5,94.0,2015-05-11,195.0,1.2,38.5,3e-06,1.0,0.0816,0.25,1.11,0.07,8.88,12.02,41.95,62.12,0.43,0.386,5,433.3,5.46,0
28.9986,94.8885,2012-07-05,535.5,0.72,179.1,0.0,1.0,0.0,2.4,3.7,5.0,11.5,36.1,123.5,164.9,0.429,0.427,3,152.0,5.6,1
